accreditation_code,power_station_name,state,installed_capacity,postcode,fuel_source_s,accreditation_start_date,suspension_status,baseline_mwh,comment,accreditation_start_year,power_station_name_key,power_station_name_canonical,power_station_name_core,fuel_family,source_file
SRPXVC53,Pine Lodge Solar Project - Solar - VIC,VIC,7.7056,3631,Solar,2021-11-05,Unsuspended,0,,2021,pine lodge solar project solar vic,pine lodge solar project,pine lodge,solar,cer_historical_accredited_power_stations.csv
SRPXVC40,"Point Cook Rd, Point Cook - Solar - VIC",VIC,0.459,3030,Solar,2021-08-24,Unsuspended,0,,2021,point cook rd point cook solar vic,point cook rd point cook,point cook rd point cook,solar,cer_historical_accredited_power_stations.csv
WD00VC36,Portland Wind Turbine - VIC,VIC,0.8,3305,Wind,2019-12-02,Unsuspended,0,,2019,portland wind turbine vic,portland wind turbine,portland turbine,wind,cer_historical_accredited_power_stations.csv
SRPVVCV1,Presbyterian Ladies College Burwood Solar - VIC,VIC,0.6053,3125,Solar,2020-04-21,Unsuspended,0,,2020,presbyterian ladies college burwood solar vic,presbyterian ladies college burwood solar,presbyterian ladies college burwood,solar,cer_historical_accredited_power_stations.csv
HYMCVC12,Preston Mini Hydro - VIC,VIC,2.0,3073,Hydro,2024-02-26,Unsuspended,0,,2024,preston mini hydro vic,preston mini hydro,preston mini,hydro,cer_historical_accredited_power_stations.csv
SRPXVC27,Prima Fresh - Solar w SGU - VIC,VIC,0.207,3616,Solar,2021-06-11,Unsuspended,0,,2021,prima fresh solar w sgu vic,prima fresh,prima fresh,solar,cer_historical_accredited_power_stations.csv
SRPXVC66,Prima Printing Noble Park - Solar w SGU - VIC,VIC,0.1997,3174,Solar,2021-12-02,Unsuspended,0,,2021,prima printing noble park solar w sgu vic,prima printing noble park,prima printing noble park,solar,cer_historical_accredited_power_stations.csv
SRPVVCE5,Proform Solutions Swan Hill - Solar w SGU - VIC,VIC,0.532,3585,Solar,2018-10-17,Unsuspended,0,,2018,proform solutions swan hill solar w sgu vic,proform solutions swan hill,proform solutions swan hill,solar,cer_historical_accredited_power_stations.csv
SRPVVCD4,Pullar Cold Storage - Solar - Vic,VIC,0.439,3644,Solar,2018-09-14,Unsuspended,0,,2018,pullar cold storage solar vic,pullar cold storage,pullar cold storage,solar,cer_historical_accredited_power_stations.csv
SRPXVCI7,Pumpa Manufacturing - Solar - VIC,VIC,0.1702,3585,Solar,2023-12-12,Unsuspended,0,,2023,pumpa manufacturing solar vic,pumpa manufacturing,pumpa manufacturing,solar,cer_historical_accredited_power_stations.csv
