measure_code,parent_description,description,abs_reference_year,value,state,measure_name,source_file
CABEE_15,Business exits - year ended 30 June,Total number of business exits,2021,1800.0,NT,business_exits_count,abs_ste_7_nt.csv
CABEE_15,Business exits - year ended 30 June,Total number of business exits,2022,1920.0,NT,business_exits_count,abs_ste_7_nt.csv
CABEE_15,Business exits - year ended 30 June,Total number of business exits,2023,2259.0,NT,business_exits_count,abs_ste_7_nt.csv
CABEE_15,Business exits - year ended 30 June,Total number of business exits,2024,2348.0,NT,business_exits_count,abs_ste_7_nt.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2020,54.0,NT,utilities_businesses_count,abs_ste_7_nt.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2021,58.0,NT,utilities_businesses_count,abs_ste_7_nt.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2022,63.0,NT,utilities_businesses_count,abs_ste_7_nt.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2023,58.0,NT,utilities_businesses_count,abs_ste_7_nt.csv
CABEE_23,Number of businesses by industry - at 30 June,"Electricity, gas, water and waste services (no.)",2024,58.0,NT,utilities_businesses_count,abs_ste_7_nt.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2020,14547.0,NT,total_businesses_count,abs_ste_7_nt.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2021,14943.0,NT,total_businesses_count,abs_ste_7_nt.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2022,15731.0,NT,total_businesses_count,abs_ste_7_nt.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2023,16105.0,NT,total_businesses_count,abs_ste_7_nt.csv
CABEE_5,Number of businesses - at 30 June,Total number of businesses,2024,16380.0,NT,total_businesses_count,abs_ste_7_nt.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2018,57858.0,NT,median_employee_income_aud,abs_ste_7_nt.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2019,59206.0,NT,median_employee_income_aud,abs_ste_7_nt.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2020,60000.0,NT,median_employee_income_aud,abs_ste_7_nt.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2021,63614.0,NT,median_employee_income_aud,abs_ste_7_nt.csv
INCOME_2,Personal income in Australia - year ended 30 June,Median employee income ($),2022,66118.0,NT,median_employee_income_aud,abs_ste_7_nt.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2018,66503.0,NT,mean_employee_income_aud,abs_ste_7_nt.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2019,66271.0,NT,mean_employee_income_aud,abs_ste_7_nt.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2020,66993.0,NT,mean_employee_income_aud,abs_ste_7_nt.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2021,69813.0,NT,mean_employee_income_aud,abs_ste_7_nt.csv
INCOME_21,Personal income in Australia - year ended 30 June,Mean employee income ($),2022,72175.0,NT,mean_employee_income_aud,abs_ste_7_nt.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2018,8891.5,NT,total_employee_income_million_aud,abs_ste_7_nt.csv
INCOME_3,Personal income in Australia - year ended 30 June,Total employee income ($m),2019,8709.7,NT,total_employee_income_million_aud,abs_ste_7_nt.csv
